# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	308026
#@/user_id	81bf718c-31d1-4575-8c56-55f3655d21e4
ba la ding 	巴拉丁	c=1 d=1 t=260357
ba le 	罷了	c=1 d=1 t=124706
ba li dao 	巴厘島	c=3 d=1 t=118181
ba ma 	爸媽	c=4 d=1 t=301319
ba na 	把那	c=0 d=0.1 t=145280
ba na gang mang 	把那剛忙	c=1 d=1 t=145281
ba na gao ding 	吧那搞定	c=1 d=1 t=303556
ba na ge ni 	吧那個你	c=1 d=1 t=212757
ba ni 	把你	c=3 d=1 t=238813
ba ni men 	吧你們	c=1 d=1 t=108976
ba nin 	把您	c=1 d=1 t=102092
ba pi 	扒皮	c=0 d=0.1 t=136955
ba qi 	霸氣	c=1 d=1 t=239182
ba qian 	八千	c=1 d=1 t=245513
ba qian 	把錢	c=1 d=1 t=114849
ba ren 	把人	c=1 d=1 t=236858
ba sai luo na 	巴塞羅那	c=1 d=1 t=231228
ba shi qing 	把事情	c=1 d=1 t=162198
ba shou 	把手	c=0 d=0.1 t=85015
ba ta 	把他	c=15 d=1 t=286862
ba ta 	把它	c=3 d=1 t=274946
ba ta men 	把他們	c=1 d=1 t=171386
ba tai 	吧檯	c=1 d=1 t=307050
ba wan 	把玩	c=1 d=1 t=70643
ba wang 	霸王	c=5 d=2.95141 t=171257
ba wo 	把我	c=6 d=0.1 t=268090
ba wo hao 	把我號	c=1 d=1 t=37474
ba wo men 	把我們	c=2 d=1 t=184613
ba wo o 	把我哦	c=1 d=1 t=159496
ba xi 	巴西	c=9 d=1 t=213934
ba yi 	八一	c=2 d=1 t=103789
ba yi 	巴依	c=1 d=1 t=228993
ba yi lao ye 	八一老爺	c=1 d=1 t=30285
ba yi lao ye 	巴依老爺	c=15 d=1 t=292283
ba yin he 	八音盒	c=1 d=1 t=288947
ba zha 	巴札	c=1 d=1.08511 t=231739
ba zhe 	把這	c=0 d=0.1 t=187780
ba zhe 	霸着	c=1 d=1 t=28103
ba zhe ge 	把這個	c=3 d=1.01878 t=199691
ba zhe shi er 	把這事兒	c=1 d=1 t=187781
ba zhe xie 	把這些	c=1 d=1 t=184409
ba zhe yang 	把這樣	c=1 d=1 t=184953
ba zhou 	巴州	c=1 d=1 t=31264
ba zi 	八字	c=1 d=1 t=59213
ba zi 	靶子	c=2 d=1 t=56699
ba zi ji 	吧自己	c=1 d=1 t=137710
bai 	拜	c=1 d=1 t=149803
bai 	掰	c=1 d=1 t=231988
bai 	擺	c=4 d=1 t=293366
bai 	敗	c=2 d=1 t=204065
bai 	白	c=25 d=1 t=268950
bai 	百	c=6 d=1 t=266860
bai ban 	白板	c=1 d=1 t=109327
bai bian 	百變	c=1 d=1.00001 t=289427
bai bian guai 	百變怪	c=2 d=1 t=292004
bai cai 	白菜	c=3 d=1 t=167930
bai ce 	白測	c=1 d=1 t=96011
bai chi 	白癡	c=3 d=1 t=154468
bai chu 	百出	c=1 d=1 t=163292
bai da gua 	白大褂	c=1 d=1 t=119045
bai du 	百度	c=53 d=4.12484 t=306056
bai du quan jia tong 	百度全家桶	c=1 d=1 t=33098
bai du wang pan 	百度網盤	c=2 d=1 t=265044
bai du yun 	百度雲	c=1 d=1 t=68143
bai fang 	擺放	c=2 d=1 t=99104
bai fei 	白費	c=1 d=1 t=214991
bai fen dian 	百分點	c=1 d=1 t=192987
bai fu zhang 	百夫長	c=1 d=1 t=119121
bai gan 	白乾	c=1 d=1 t=57351
bai gei 	敗給	c=1 d=1 t=43335
bai hang bang 	擺行幫	c=1 d=1 t=220725
bai hua 	白花	c=1 d=1 t=167913
bai jia 	敗家	c=6 d=1.06822 t=268305
bai jia guan 	敗家館	c=1 d=1 t=105598
bai jia hei 	白加黑	c=4 d=1.16131 t=94075
bai jie 	白潔	c=1 d=1 t=65370
bai jin 	白金	c=9 d=1 t=272150
bai jin ka 	白金卡	c=1 d=1 t=214350
bai ke 	百科	c=3 d=1 t=268202
bai lai 	百籟	c=1 d=1 t=124732
bai lai bai qu 	擺來擺去	c=1 d=1 t=105981
bai le 	敗了	c=2 d=1 t=249283
bai lu 	白鷺	c=0 d=0.1 t=84049
bai ming 	百名	c=2 d=1 t=196925
bai ming dan 	白名單	c=5 d=1 t=294519
bai ming dan na 	白名單那	c=1 d=1 t=168521
bai mu 	白目	c=1 d=1 t=112317
bai nen 	白嫩	c=0 d=0.1 t=36614
bai nian 	百年	c=2 d=1 t=179321
bai nian gu du 	百年孤獨	c=1 d=1 t=128982
bai pao 	白跑	c=1 d=1 t=99729
bai ping 	白屏	c=1 d=1 t=27382
bai qi 	百奇	c=1 d=1 t=14120
bai qiao ke li 	白巧克力	c=1 d=1 t=264025
bai se 	白色	c=21 d=1 t=299881
bai sha 	敗啥	c=1 d=1 t=3281
bai shang 	擺上	c=1 d=1 t=162080
bai shi 	百事	c=1 d=1 t=129650
bai shi 	百十	c=1 d=1 t=205709
bai shi lai ge 	百事來個	c=1 d=1 t=68312
bai shi lai kuai qian 	百十來塊錢	c=1 d=1 t=69743
bai shi lai nian 	百十來年	c=1 d=1 t=203110
bai shi lai wan 	百十來萬	c=1 d=1 t=174615
bai si 	百思	c=1 d=1 t=21881
bai song 	白送	c=1 d=1 t=276813
bai tian 	白天	c=5 d=1 t=231782
bai tuo 	拜託	c=3 d=1 t=97526
bai tuo 	擺脫	c=2 d=1 t=97527
bai wan 	百萬	c=3 d=1 t=54427
bai xian 	白線	c=1 d=1 t=30228
bai xiong 	白熊	c=4 d=1 t=236836
bai xue 	白雪	c=1 d=1 t=268512
bai yan 	白眼	c=2 d=1.40861 t=277103
bai yin 	白銀	c=3 d=1.92312 t=119262
bai zai 	擺在	c=1 d=1 t=268542
bai zhi 	白紙	c=2 d=1 t=303901
bai zi 	白字	c=1 d=1 t=138328
bai zi wan 	百子灣	c=5 d=1 t=301707
ban 	半	c=30 d=1 t=296960
ban 	扮	c=1 d=1 t=73364
ban 	搬	c=29 d=1 t=298502
ban 	板	c=30 d=1.99501 t=306903
ban 	版	c=176 d=0.000122794 t=308026
ban 	班	c=10 d=1 t=305728
ban 	般	c=24 d=1.00054 t=276654
ban 	辦	c=58 d=1 t=274289
ban 	頒	c=1 d=1 t=33035
ban ben 	版本	c=575 d=0.672586 t=308026
ban ben hao 	版本號	c=9 d=0.000696112 t=308026
ban ben kan 	版本看	c=1 d=1 t=191945
ban ben li 	版本裏	c=1 d=1 t=216583
ban ben ne 	版本呢	c=7 d=1 t=294578
ban bian 	半邊	c=1 d=1 t=241465
ban cheng pin 	半成品	c=1 d=1 t=32303
ban chu qu 	搬出去	c=4 d=1 t=146316
ban dao 	搬到	c=2 d=1 t=161270
ban deng 	板凳	c=0 d=0.1 t=100625
ban dian 	辦點	c=1 d=1 t=266335
ban dian shi 	辦點事	c=1 d=1 t=228170
ban dong xi 	搬東西	c=1 d=1 t=26549
ban en 	版嗯	c=4 d=1 t=222721
ban er 	板兒	c=1 d=1 t=114972
ban fa 	辦法	c=66 d=1 t=295871
ban fa 	頒發	c=1 d=1 t=192411
ban fan 	拌飯	c=7 d=1 t=257498
ban ge 	半個	c=7 d=1 t=299441
